7654,421141,466013021,686,967,Mobile
4425,473816,698167968,710,990,Mobile
4961,326487,740466842,716,983,Mobile
4174,157866,829544110,718,983,Mobile
6342,270733,645093222,711,956,Mobile
4354,65655,404335466,733,996,Mobile
10412,315141,317462767,683,956,Mobile
5265,166379,654099467,703,950,Mobile
4270,169600,638754969,499,913,Mobile
4931,314518,706550463,733,995,Mobile
5919,355525,421095101,710,987,Mobile
4916,171949,418720100,706,976,Mobile
7194,324360,568468293,707,996,Mobile
9126,243146,598864013,617,987,Mobile
7226,335500,544460700,675,968,Mobile
5115,219677,792739342,712,991,Mobile
4102,254449,837352208,627,972,Mobile
2598,100655,712903117,479,903,Mobile
4377,274883,617575281,615,900,Mobile
5920,188595,312272517,719,973,Mobile
6091,70872,821587773,585,943,Pant
11683,123051,721078721,701,938,Pant
11110,8814,596095175,553,927,Pant
9196,14888,581943122,565,972,Pant
8564,21756,662086833,591,900,Pant
5336,79430,614184944,475,907,Pant
9901,81838,645819409,585,936,Pant
9287,16219,550430766,639,947,Pant
11711,66974,626713339,668,984,Pant
10296,125953,617503979,642,952,Pant
523,14328,709386632,421,900,Pant
10136,90900,696665974,619,976,Pant
10070,28006,676231176,592,989,Pant
10303,173765,690836243,628,948,Pant
6817,246465,775433918,621,972,Pant
5943,177037,689427339,588,933,Pant
9472,14407,664439106,634,942,Pant
4035,185870,773463684,557,915,Pant
10647,18929,686544236,585,989,Pant
10460,36060,627905390,630,977,Pant
6239,13685,586697861,705,930,TShirt
4756,424499,662176261,645,929,TShirt
3737,349920,649536071,661,900,TShirt
3385,41040,752624427,562,900,TShirt
8405,622506,821476896,941,993,TShirt
8125,37866,893999792,940,964,TShirt
8927,201072,765078515,897,953,TShirt
1965,9634,1382889749,944,972,TShirt
1896,34513,956564098,610,900,TShirt
3478,10990,824775960,637,900,TShirt
311,136318,1086265570,706,900,TShirt
13071,69838,588130120,602,900,TShirt
13990,89050,713733902,737,992,TShirt
2006,4029,456386892,289,958,TShirt
2470,89755,888063146,676,949,TShirt
7585,387718,551091616,706,900,TShirt
7129,239477,712290272,668,900,TShirt
11853,38258,702467845,766,993,TShirt
3603,517531,615962075,702,994,TShirt
2806,399104,934907567,834,910,TShirt
